Questions,ans1,ans2,class
What is deep learning?,"Deep learning is a part of machine learning with an algorithm inspired by the structure and function of the brain, which is called an artificial neural network.Deep learning is suited over a range of fields such as computer vision, speech recognition, natural language processing, etc.",Stochastic gradient descent is used to calculate the gradient and update the parameters by using only a single training example.,0
Explain the following variant of Gradient Descent Stochastic?,"Deep learning is a subset of machine learning where artificial neural networks, imitates the workings of the human brain in processing data and creating patterns for use in decision making.","Instead of going through all examples, the gradient based on a single training sample.",0
What is deep learning?,"Deep learning is a part of machine learning with an algorithm inspired by the structure and function of the brain, which is called an artificial neural network.Deep learning is suited over a range of fields such as computer vision, speech recognition, natural language processing, etc.","Deep learning is an artificial intelligence (AI) function that imitates the workings of the human, capable of learning unsupervised from data that is unstructured or unlabeled. Also known as deep neural learning or deep neural network.",1
What do you understand by Autoencoder?,"Deep learning is an artificial intelligence (AI) function that imitates the workings of the human, capable of learning unsupervised from data that is unstructured or unlabeled. Also known as deep neural learning or deep neural network.","Autoencoder is an unsupervised artificial neural network that learns how to efficiently compress and encode data, and then uncompress that code into whatever format best matches the original input.",0
What is deep learning?,Deep learning is a subset of machine learning in artificial intelligence that has networks capable of learning unsupervised from data that is unstructured or unlabeled. Also known as deep neural learning or deep neural network.,"Deep learning is a subset of machine learning where artificial neural networks, algorithms inspired by the human brain, learn from large amounts of data.",1
What is deep learning?,Deep learning is a subset of machine learning in artificial intelligence that has networks capable of learning unsupervised from data that is unstructured or unlabeled. Also known as deep neural learning or deep neural network.,It reduces the spatial size of the representation to lower the number of parameters and computation in the network. This layer operates on each feature map independently.,0
Explain the layer of CNN: pooling,"Deep learning is a subset of machine learning where artificial neural networks, algorithms inspired by the human brain, learn from large amounts of data.",pooling or downsampling layer is responsible for reducing the spacial size of the activation maps.,0
What is deep learning?,Deep learning is a subset of machine learning in artificial intelligence that has networks capable of learning unsupervised from data that is unstructured or unlabeled. Also known as deep neural learning or deep neural network.,Deep learning is an artificial intelligence (AI) function that imitates the workings of the human brain in processing data and creating patterns for use in decision making.,1
What is deep learning?,Deep learning is a subset of machine learning in artificial intelligence that has networks capable of learning unsupervised from data that is unstructured or unlabeled. Also known as deep neural learning or deep neural network.,The data is made available at the output layer.,0
what do you know about output layer?,Deep learning is an artificial intelligence (AI) function that imitates the workings of the human brain in processing data and creating patterns for use in decision making.,"The output layer is the simplest, usually consisting of a single output for classification problems.",0
What is deep learning?,Deep learning is a subset of machine learning in artificial intelligence that has networks capable of learning unsupervised from data that is unstructured or unlabeled. Also known as deep neural learning or deep neural network.,"Deep learning is a subset of machine learning in artificial intelligence that has networks capable of learning unsupervised algorithms inspired by the human brain, learn from large amounts of data.",1
What is deep learning?,Deep learning is a subset of machine learning in artificial intelligence that has networks capable of learning unsupervised from data that is unstructured or unlabeled. Also known as deep neural learning or deep neural network.,"Instead of going through all examples, Stochastic Gradient Descent (SGD) performs the parameters update on each example.",0
Explain the following variant of Gradient Descent Stochastic?,"Deep learning is a subset of machine learning in artificial intelligence that has networks capable of learning unsupervised algorithms inspired by the human brain, learn from large amounts of data.","the term ""stochastic"" comes from the fact that the gradient based on a single training sample is a ""stochastic approximation"" of the ""true"" cost gradient.",0
What is deep learning?,Deep learning is a subset of machine learning in artificial intelligence that has networks capable of learning unsupervised from data that is unstructured or unlabeled. Also known as deep neural learning or deep neural network.,"Deep learning is a subset of machine learning where artificial neural networks, imitates the workings of the human brain in processing data and creating patterns for use in decision making.",1
What is deep learning?,Deep learning is a subset of machine learning in artificial intelligence that has networks capable of learning unsupervised from data that is unstructured or unlabeled. Also known as deep neural learning or deep neural network.,"layer will compute the class scores, resulting a class probability distribution.",0
Explain the layer of CNN: Full Collectedness,"Deep learning is a subset of machine learning where artificial neural networks, imitates the workings of the human brain in processing data and creating patterns for use in decision making.",aims to map the activation volume from the combination of previous different layers that drives the final classification decision.,0
What is deep learning?,Deep learning is a subset of machine learning in artificial intelligence that has networks capable of learning unsupervised from data that is unstructured or unlabeled. Also known as deep neural learning or deep neural network.,"Deep learning is an artificial intelligence (AI) function that imitates the workings of the human, capable of learning unsupervised from data that is unstructured or unlabeled. Also known as deep neural learning or deep neural network.",1
What is deep learning?,Deep learning is a subset of machine learning in artificial intelligence that has networks capable of learning unsupervised from data that is unstructured or unlabeled. Also known as deep neural learning or deep neural network.,"Autoencoder networks teach themselves how to compress data from the input layer into a shorter code, and then uncompress that code into whatever format best matches the original input.",0
What do you understand by Autoencoder?,"Deep learning is an artificial intelligence (AI) function that imitates the workings of the human, capable of learning unsupervised from data that is unstructured or unlabeled. Also known as deep neural learning or deep neural network.","Autoencoders are neural networks. Neural networks are composed of multiple layers, and the defining aspect of an autoencoder is that the input layers contain exactly as much information as the output layer.",0
What is deep learning?,"Deep learning is a subset of machine learning where artificial neural networks, algorithms inspired by the human brain, learn from large amounts of data.",Deep learning is an artificial intelligence (AI) function that imitates the workings of the human brain in processing data and creating patterns for use in decision making.,1
What is deep learning?,"Deep learning is a subset of machine learning where artificial neural networks, algorithms inspired by the human brain, learn from large amounts of data.","The input layer contains input neurons, sometimes called the visible layer.",0
what do you know about input layer?,Deep learning is an artificial intelligence (AI) function that imitates the workings of the human brain in processing data and creating patterns for use in decision making.,The input layer is contains your raw data. which send information to the hidden layer.,0
What is deep learning?,"Deep learning is a subset of machine learning where artificial neural networks, algorithms inspired by the human brain, learn from large amounts of data.","Deep learning is a subset of machine learning in artificial intelligence that has networks capable of learning unsupervised algorithms inspired by the human brain, learn from large amounts of data.",1
What is deep learning?,"Deep learning is a subset of machine learning where artificial neural networks, algorithms inspired by the human brain, learn from large amounts of data.",A perceptron is a neural network unit (an artificial neuron) that does certain computations to detect features. It is an algorithm for supervised learning of binary classifiers.,0
What do you understand by Perceptron?,"Deep learning is a subset of machine learning in artificial intelligence that has networks capable of learning unsupervised algorithms inspired by the human brain, learn from large amounts of data.","A Perceptron is an algorithm for supervised learning of binary classifiers. Binary classifiers decide whether an input, usually represented by a series of vectors, belongs to a specific class.",0
What is deep learning?,"Deep learning is a subset of machine learning where artificial neural networks, algorithms inspired by the human brain, learn from large amounts of data.","Deep learning is a subset of machine learning where artificial neural networks, imitates the workings of the human brain in processing data and creating patterns for use in decision making.",1
What is deep learning?,"Deep learning is a subset of machine learning where artificial neural networks, algorithms inspired by the human brain, learn from large amounts of data.",Boltzmann machines are non-deterministic (or stochastic) generative Deep Learning models with only two types of nodes  hidden and visible nodes. It is the work of Boltzmann Machine to optimize the weights and quantity related to that particular problem.,0
What do you understand by Boltzmann Machine?,"Deep learning is a subset of machine learning where artificial neural networks, imitates the workings of the human brain in processing data and creating patterns for use in decision making.",The main purpose of Boltzmann Machine is to optimize the solution of a problem. Boltzmann machines have a simple learning algorithm that allows them to discover interesting features that represent complex regularities in the training data.,0
What is deep learning?,"Deep learning is a subset of machine learning where artificial neural networks, algorithms inspired by the human brain, learn from large amounts of data.","Deep learning is an artificial intelligence (AI) function that imitates the workings of the human, capable of learning unsupervised from data that is unstructured or unlabeled. Also known as deep neural learning or deep neural network.",1
What is deep learning?,"Deep learning is a subset of machine learning where artificial neural networks, algorithms inspired by the human brain, learn from large amounts of data.","The output layer is the simplest, usually consisting of a single output for classification problems.",0
what do you know about output layer?,"Deep learning is an artificial intelligence (AI) function that imitates the workings of the human, capable of learning unsupervised from data that is unstructured or unlabeled. Also known as deep neural learning or deep neural network.",The data is made available the output variables.,0
What is deep learning?,Deep learning is an artificial intelligence (AI) function that imitates the workings of the human brain in processing data and creating patterns for use in decision making.,"Deep learning is a subset of machine learning in artificial intelligence that has networks capable of learning unsupervised algorithms inspired by the human brain, learn from large amounts of data.",1
What is deep learning?,Deep learning is an artificial intelligence (AI) function that imitates the workings of the human brain in processing data and creating patterns for use in decision making.,"Tensors are mathematical objects that generalize scalars, vectors and matrices to higher dimensions. In short, a single-dimensional tensor can be represented as a vector.",0
What do you understand by Tensors?,"Deep learning is a subset of machine learning in artificial intelligence that has networks capable of learning unsupervised algorithms inspired by the human brain, learn from large amounts of data.","Tensors are mathematical objects that generalize scalars, vectors and matrices to N-dimensional space.",0
What is deep learning?,Deep learning is an artificial intelligence (AI) function that imitates the workings of the human brain in processing data and creating patterns for use in decision making.,"Deep learning is a subset of machine learning where artificial neural networks, imitates the workings of the human brain in processing data and creating patterns for use in decision making.",1
What is deep learning?,Deep learning is an artificial intelligence (AI) function that imitates the workings of the human brain in processing data and creating patterns for use in decision making.,"This part aims to reconstruct the input from the latent space representation, Decoder is also a feedforward network",0
What is the use of decoder layers in Autoencoders?,"Deep learning is a subset of machine learning where artificial neural networks, imitates the workings of the human brain in processing data and creating patterns for use in decision making.",Decoder is also a feedforward network like the encoder and has a similar structure to the encoder. The decoded image is a lossy reconstruction of the original image and it is reconstructed from the latent space representation.,0
What is deep learning?,Deep learning is an artificial intelligence (AI) function that imitates the workings of the human brain in processing data and creating patterns for use in decision making.,"Deep learning is an artificial intelligence (AI) function that imitates the workings of the human, capable of learning unsupervised from data that is unstructured or unlabeled. Also known as deep neural learning or deep neural network.",1
What is deep learning?,Deep learning is an artificial intelligence (AI) function that imitates the workings of the human brain in processing data and creating patterns for use in decision making.,"Leaky ReLUs are one attempt to fix the dying ReLU problem by having a small negative slope (of 0.01, or so).",0
What is the use of leaky ReLU function?,"Deep learning is an artificial intelligence (AI) function that imitates the workings of the human, capable of learning unsupervised from data that is unstructured or unlabeled. Also known as deep neural learning or deep neural network.","Leaky ReLUs are one attempt to fix the dying ReLU problem by allowing small, non-zero, constant gradient Î±.",0
What is deep learning?,"Deep learning is a subset of machine learning in artificial intelligence that has networks capable of learning unsupervised algorithms inspired by the human brain, learn from large amounts of data.","Deep learning is a subset of machine learning where artificial neural networks, imitates the workings of the human brain in processing data and creating patterns for use in decision making.",1
What is deep learning?,"Deep learning is a subset of machine learning in artificial intelligence that has networks capable of learning unsupervised algorithms inspired by the human brain, learn from large amounts of data.","Once a feature map is created, we can pass each value in the feature map through a nonlinearity, such as a ReLU.",0
Explain the layer of CNN: ReLU,"Deep learning is a subset of machine learning where artificial neural networks, imitates the workings of the human brain in processing data and creating patterns for use in decision making.","the most commonly deployed activation function, such as the max(0,x) thresholding at zero.",0
What is deep learning?,"Deep learning is a subset of machine learning in artificial intelligence that has networks capable of learning unsupervised algorithms inspired by the human brain, learn from large amounts of data.","Deep learning is an artificial intelligence (AI) function that imitates the workings of the human, capable of learning unsupervised from data that is unstructured or unlabeled. Also known as deep neural learning or deep neural network.",1
What is deep learning?,"Deep learning is a subset of machine learning in artificial intelligence that has networks capable of learning unsupervised algorithms inspired by the human brain, learn from large amounts of data.",A tensor is a generalization of vectors and matrices and is easily understood as a multidimensional array.,0
What do you understand by Tensors?,"Deep learning is an artificial intelligence (AI) function that imitates the workings of the human, capable of learning unsupervised from data that is unstructured or unlabeled. Also known as deep neural learning or deep neural network.",A tensor is a container which can house data in N dimensions. tensors are generalizations of matrices to N-dimensional space.,0
What is deep learning?,"Deep learning is a subset of machine learning where artificial neural networks, imitates the workings of the human brain in processing data and creating patterns for use in decision making.","Deep learning is an artificial intelligence (AI) function that imitates the workings of the human, capable of learning unsupervised from data that is unstructured or unlabeled. Also known as deep neural learning or deep neural network.",1
What is deep learning?,"Deep learning is a subset of machine learning where artificial neural networks, imitates the workings of the human brain in processing data and creating patterns for use in decision making.",Stochastic gradient descent is used to calculate the gradient and update the parameters by using only a single training example.,0
Explain the following variant of Gradient Descent Stochastic?,"Deep learning is an artificial intelligence (AI) function that imitates the workings of the human, capable of learning unsupervised from data that is unstructured or unlabeled. Also known as deep neural learning or deep neural network.","the term ""stochastic"" comes from the fact that the gradient based on a single training sample is a ""stochastic approximation"" of the ""true"" cost gradient.",0
"What are the main differences between AI, Machine Learning, and Deep Learning?","AI stands for Artificial Intelligence. It is a technique which enables machines to mimic human behavior.Machine Learning is a subset of AI which uses statistical methods to enable machines to improve with experiences.Deep learning is a part of Machine learning, which makes the computation of multi-layer neural networks feasible. It takes advantage of neural networks to simulate human-like decision making.","Artificial intelligence is any computer program that does something smart. It can be a stack of a complex statistical model or if-then statements.Machine learning is a subset of AI. The theory is simple, machines take data for themselvesDeep learning is a subset of machine learning. Deep artificial neural networks are a set of algorithms reaching new levels of accuracy for many important problems.",1
"What are the main differences between AI, Machine Learning, and Deep Learning?","AI stands for Artificial Intelligence. It is a technique which enables machines to mimic human behavior.Machine Learning is a subset of AI which uses statistical methods to enable machines to improve with experiences.Deep learning is a part of Machine learning, which makes the computation of multi-layer neural networks feasible. It takes advantage of neural networks to simulate human-like decision making.",The Leaky ReLU (LReLU or LReL) manages the function to allow small negative values when the input is less than zero.,0
What is the use of leaky ReLU function?,"Artificial intelligence is any computer program that does something smart. It can be a stack of a complex statistical model or if-then statements.Machine learning is a subset of AI. The theory is simple, machines take data for themselvesDeep learning is a subset of machine learning. Deep artificial neural networks are a set of algorithms reaching new levels of accuracy for many important problems.",the Leaky ReLU which attempts to resolve issues with traditional ReLU that are related to dying neural networks by allowing small values.,0
"What are the main differences between AI, Machine Learning, and Deep Learning?","AI stands for Artificial Intelligence. It is a technique which enables machines to mimic human behavior.Machine Learning is a subset of AI which uses statistical methods to enable machines to improve with experiences.Deep learning is a part of Machine learning, which makes the computation of multi-layer neural networks feasible. It takes advantage of neural networks to simulate human-like decision making.","Artificial intelligence is a science like mathematics or biology. It studies ways to build intelligent programs and machines that can creatively solve problems, which has always been considered a human prerogative.Machine learning is a subset of artificial intelligence (AI) that provides systems the ability to automatically learn and improve from experience without being explicitly programmed. In ML, there are different algorithms (e.g. neural networks) that help to solve problems.Deep learning, is a subset of machine learning, which uses the neural networks to analyze different factors with a structure that is similar to the human neural system.",1
"What are the main differences between AI, Machine Learning, and Deep Learning?","AI stands for Artificial Intelligence. It is a technique which enables machines to mimic human behavior.Machine Learning is a subset of AI which uses statistical methods to enable machines to improve with experiences.Deep learning is a part of Machine learning, which makes the computation of multi-layer neural networks feasible. It takes advantage of neural networks to simulate human-like decision making.",This layer comprises of a set of independent filters. All these filters are initialized randomly. These filters then become our parameters which will be learned by the network subsequently.,0
Explain the layer of CNN: convolution,"Artificial intelligence is a science like mathematics or biology. It studies ways to build intelligent programs and machines that can creatively solve problems, which has always been considered a human prerogative.Machine learning is a subset of artificial intelligence (AI) that provides systems the ability to automatically learn and improve from experience without being explicitly programmed. In ML, there are different algorithms (e.g. neural networks) that help to solve problems.Deep learning, is a subset of machine learning, which uses the neural networks to analyze different factors with a structure that is similar to the human neural system.",This layer computes the convolutions between the neurons of an input that results in an activation.,0
"What are the main differences between AI, Machine Learning, and Deep Learning?","AI stands for Artificial Intelligence. It is a technique which enables machines to mimic human behavior.Machine Learning is a subset of AI which uses statistical methods to enable machines to improve with experiences.Deep learning is a part of Machine learning, which makes the computation of multi-layer neural networks feasible. It takes advantage of neural networks to simulate human-like decision making.","AI means getting a computer to mimic human behavior in some way.Machine learning is a subset of AI, and it consists of the techniques that enable computers to figure things out from the data and deliver AI applications.Deep learning, meanwhile, is a subset of machine learning that enables computers to solve more complex problems",1
"What are the main differences between AI, Machine Learning, and Deep Learning?","AI stands for Artificial Intelligence. It is a technique which enables machines to mimic human behavior.Machine Learning is a subset of AI which uses statistical methods to enable machines to improve with experiences.Deep learning is a part of Machine learning, which makes the computation of multi-layer neural networks feasible. It takes advantage of neural networks to simulate human-like decision making.","a leaky ReLU allows a small, non-zero, constant gradient Î± (Normally, Î±=0.01).",0
What is the use of leaky ReLU function?,"AI means getting a computer to mimic human behavior in some way.Machine learning is a subset of AI, and it consists of the techniques that enable computers to figure things out from the data and deliver AI applications.Deep learning, meanwhile, is a subset of machine learning that enables computers to solve more complex problems","the Leaky ReLU which attempts to resolve issues with traditional ReLU by allowing a small, non-zero, constant gradient Î±",0
"What are the main differences between AI, Machine Learning, and Deep Learning?","AI stands for Artificial Intelligence. It is a technique which enables machines to mimic human behavior.Machine Learning is a subset of AI which uses statistical methods to enable machines to improve with experiences.Deep learning is a part of Machine learning, which makes the computation of multi-layer neural networks feasible. It takes advantage of neural networks to simulate human-like decision making.","AI stands for Artificial Intelligence. It is a technique which enables machines to mimic human behavior, .Machine learning is a subset of artificial intelligence (AI) that provides systems the ability to automatically learn, Deep artificial neural networks are a set of algorithms reaching new levels of accuracy for many important problems.",1
"What are the main differences between AI, Machine Learning, and Deep Learning?","AI stands for Artificial Intelligence. It is a technique which enables machines to mimic human behavior.Machine Learning is a subset of AI which uses statistical methods to enable machines to improve with experiences.Deep learning is a part of Machine learning, which makes the computation of multi-layer neural networks feasible. It takes advantage of neural networks to simulate human-like decision making.",most important feature in an activation function is its ability to add non-linearity into a neural network.,0
What is the use of the Activation function?,"AI stands for Artificial Intelligence. It is a technique which enables machines to mimic human behavior, .Machine learning is a subset of artificial intelligence (AI) that provides systems the ability to automatically learn, Deep artificial neural networks are a set of algorithms reaching new levels of accuracy for many important problems.",The basic purpose of the activation function its ability to add non-linearity into a neural network.,0
"What are the main differences between AI, Machine Learning, and Deep Learning?","AI stands for Artificial Intelligence. It is a technique which enables machines to mimic human behavior.Machine Learning is a subset of AI which uses statistical methods to enable machines to improve with experiences.Deep learning is a part of Machine learning, which makes the computation of multi-layer neural networks feasible. It takes advantage of neural networks to simulate human-like decision making.","Artificial intelligence is a science like mathematics or biology. It studies ways to build intelligent programs and machines that can creatively solve problems, .Machine Learning is a subset of AI which uses statistical methods to enable machines to improve with experiences, Deep learning, is a subset of machine learning, which uses the neural networks to analyze different factors with a structure that is similar to the human neural system.",1
"What are the main differences between AI, Machine Learning, and Deep Learning?","AI stands for Artificial Intelligence. It is a technique which enables machines to mimic human behavior.Machine Learning is a subset of AI which uses statistical methods to enable machines to improve with experiences.Deep learning is a part of Machine learning, which makes the computation of multi-layer neural networks feasible. It takes advantage of neural networks to simulate human-like decision making.","can be used as activation function would be a threshold based classifier if the input to the activation function is greater than a threshold, then the neuron is activated, else it is deactivated.",0
What is a binary step function?,"Artificial intelligence is a science like mathematics or biology. It studies ways to build intelligent programs and machines that can creatively solve problems, .Machine Learning is a subset of AI which uses statistical methods to enable machines to improve with experiences, Deep learning, is a subset of machine learning, which uses the neural networks to analyze different factors with a structure that is similar to the human neural system.","is one of the most common activation function in neural networks. if the input to the activation function is greater than a threshold, then the neuron is activated, else it is deactivated.",0
"What are the main differences between AI, Machine Learning, and Deep Learning?","AI stands for Artificial Intelligence. It is a technique which enables machines to mimic human behavior.Machine Learning is a subset of AI which uses statistical methods to enable machines to improve with experiences.Deep learning is a part of Machine learning, which makes the computation of multi-layer neural networks feasible. It takes advantage of neural networks to simulate human-like decision making.","AI means getting a computer to mimic human behavior in some way, Machine Learning is a subset of AI which uses statistical methods to enable machines to improve with experiences, Deep artificial neural networks are a set of algorithms reaching new levels of accuracy for many important problems.",1
"What are the main differences between AI, Machine Learning, and Deep Learning?","AI stands for Artificial Intelligence. It is a technique which enables machines to mimic human behavior.Machine Learning is a subset of AI which uses statistical methods to enable machines to improve with experiences.Deep learning is a part of Machine learning, which makes the computation of multi-layer neural networks feasible. It takes advantage of neural networks to simulate human-like decision making.","Mini-batch gradient descent is a variation of stochastic gradient descent. Instead of a single training example, mini-batch of samples is used. Mini-batch gradient descent is one of the most popular optimization algorithms.",0
Explain the following variant of Gradient Descent mini-batch?,"AI means getting a computer to mimic human behavior in some way, Machine Learning is a subset of AI which uses statistical methods to enable machines to improve with experiences, Deep artificial neural networks are a set of algorithms reaching new levels of accuracy for many important problems.","Instead of going over all examples, Mini-batch Gradient Descent sums up over lower number of examples based on the batch size.",0
"What are the main differences between AI, Machine Learning, and Deep Learning?","Artificial intelligence is any computer program that does something smart. It can be a stack of a complex statistical model or if-then statements.Machine learning is a subset of AI. The theory is simple, machines take data for themselvesDeep learning is a subset of machine learning. Deep artificial neural networks are a set of algorithms reaching new levels of accuracy for many important problems.","Artificial intelligence is a science like mathematics or biology. It studies ways to build intelligent programs and machines that can creatively solve problems, which has always been considered a human prerogative.Machine learning is a subset of artificial intelligence (AI) that provides systems the ability to automatically learn and improve from experience without being explicitly programmed. In ML, there are different algorithms (e.g. neural networks) that help to solve problems.Deep learning, is a subset of machine learning, which uses the neural networks to analyze different factors with a structure that is similar to the human neural system.",1
"What are the main differences between AI, Machine Learning, and Deep Learning?","Artificial intelligence is any computer program that does something smart. It can be a stack of a complex statistical model or if-then statements.Machine learning is a subset of AI. The theory is simple, machines take data for themselvesDeep learning is a subset of machine learning. Deep artificial neural networks are a set of algorithms reaching new levels of accuracy for many important problems.","The hyperbolic tangent function, also known as tanh for short, is a similar shaped nonlinear activation function. It provides output values between -1.0 and 1.0.It was easier to train and often had better predictive performance.",0
What is Tanh function?,"Artificial intelligence is a science like mathematics or biology. It studies ways to build intelligent programs and machines that can creatively solve problems, which has always been considered a human prerogative.Machine learning is a subset of artificial intelligence (AI) that provides systems the ability to automatically learn and improve from experience without being explicitly programmed. In ML, there are different algorithms (e.g. neural networks) that help to solve problems.Deep learning, is a subset of machine learning, which uses the neural networks to analyze different factors with a structure that is similar to the human neural system.","rescaling of the logistic sigmoid, inputs will be mapped strongly negative and the zero inputs will be mapped near zero",0
"What are the main differences between AI, Machine Learning, and Deep Learning?","Artificial intelligence is any computer program that does something smart. It can be a stack of a complex statistical model or if-then statements.Machine learning is a subset of AI. The theory is simple, machines take data for themselvesDeep learning is a subset of machine learning. Deep artificial neural networks are a set of algorithms reaching new levels of accuracy for many important problems.","AI means getting a computer to mimic human behavior in some way.Machine learning is a subset of AI, and it consists of the techniques that enable computers to figure things out from the data and deliver AI applications.Deep learning, meanwhile, is a subset of machine learning that enables computers to solve more complex problems",1
"What are the main differences between AI, Machine Learning, and Deep Learning?","Artificial intelligence is any computer program that does something smart. It can be a stack of a complex statistical model or if-then statements.Machine learning is a subset of AI. The theory is simple, machines take data for themselvesDeep learning is a subset of machine learning. Deep artificial neural networks are a set of algorithms reaching new levels of accuracy for many important problems.",Computes the hyperbolic tangent of an input value for a hyperbolic angle measured in radians. The value can be a Decimal or Integer literal or a reference to a column containing numeric value nad ranges between -1 and 1,0
What is Tanh function?,"AI means getting a computer to mimic human behavior in some way.Machine learning is a subset of AI, and it consists of the techniques that enable computers to figure things out from the data and deliver AI applications.Deep learning, meanwhile, is a subset of machine learning that enables computers to solve more complex problems","tanh produces output ranges from -1 and 1, and used as activation function.",0
"What are the main differences between AI, Machine Learning, and Deep Learning?","Artificial intelligence is any computer program that does something smart. It can be a stack of a complex statistical model or if-then statements.Machine learning is a subset of AI. The theory is simple, machines take data for themselvesDeep learning is a subset of machine learning. Deep artificial neural networks are a set of algorithms reaching new levels of accuracy for many important problems.","AI stands for Artificial Intelligence. It is a technique which enables machines to mimic human behavior, .Machine learning is a subset of artificial intelligence (AI) that provides systems the ability to automatically learn, Deep artificial neural networks are a set of algorithms reaching new levels of accuracy for many important problems.",1
"What are the main differences between AI, Machine Learning, and Deep Learning?","Artificial intelligence is any computer program that does something smart. It can be a stack of a complex statistical model or if-then statements.Machine learning is a subset of AI. The theory is simple, machines take data for themselvesDeep learning is a subset of machine learning. Deep artificial neural networks are a set of algorithms reaching new levels of accuracy for many important problems.",A convolution is the simple application of a filter to an input that results in an activation.,0
Explain the layer of CNN: convolution,"AI stands for Artificial Intelligence. It is a technique which enables machines to mimic human behavior, .Machine learning is a subset of artificial intelligence (AI) that provides systems the ability to automatically learn, Deep artificial neural networks are a set of algorithms reaching new levels of accuracy for many important problems.",This layer computes the convolutions between the neurons of an input that results in an activation.,0
"What are the main differences between AI, Machine Learning, and Deep Learning?","Artificial intelligence is any computer program that does something smart. It can be a stack of a complex statistical model or if-then statements.Machine learning is a subset of AI. The theory is simple, machines take data for themselvesDeep learning is a subset of machine learning. Deep artificial neural networks are a set of algorithms reaching new levels of accuracy for many important problems.","Artificial intelligence is a science like mathematics or biology. It studies ways to build intelligent programs and machines that can creatively solve problems, .Machine Learning is a subset of AI which uses statistical methods to enable machines to improve with experiences, Deep learning, is a subset of machine learning, which uses the neural networks to analyze different factors with a structure that is similar to the human neural system.",1
